Class,zID,Name,Latitude,Longitude,Circumference_cm,dbh_cm,Distance_m,Angle,Eye_height_m,Tree_height_m,Tree_type,Notes
Monday PM,z5482279,Wauchope,-33.89291,151.23719,89,28.3,6.1,74,1.65,22.9,Eucalyptus grandis,
Tuesday AM,z5412813,Belmont,-33.89274,151.2369,89,28.3,7,62,1.7,14.9,Eucalyptus grandis,
Tuesday AM,z5481461,Belmont,-33.89268,151.2368,89,28.3,7.5,50,1.5,10.5,Eucalyptus grandis,
Monday PM,z5495074,Harrington,-33.8927,151.23735,89,28.2,7.2,64,1.62,16.4,Eucalyptus grandis,
Tuesday AM,z5464929,Harrington,-33.89267,151.23733,88,28,16,40,1.6,15,Eucalyptus grandis,
Tuesday AM,z5518352,Harrington,-33.8927,151.23737,88,28,8.2,65,1.7,19.3,Eucalyptus grandis,
Monday AM,z5429073,Baxter,-33.89264,151.23741,85,27.1,12.9,45,1.72,20.8,Eucalyptus grandis,
Monday AM,z5502976,Bell,-33.89264,151.23727,85,27.1,12.4,55,1.72,17.6,Eucalyptus grandis,
Monday PM,z5506652,Belmont,-33.89265,151.23675,85,27.1,7,58,1.8,13,Eucalyptus grandis,
Monday AM,z5476746,Belmont,-33.89261,151.23688,85,27,11.6,50,1.8,15.7,Eucalyptus grandis,
Monday AM,z5502976,Cleve,-33.89281,151.23691,84,26.7,9.8,66,1.72,22,Eucalyptus grandis,
Monday AM,z5418643,Cherrybrook,-33.89228,151.2368,83,26.4,20.5,45,1.9,22.4,Eucalyptus grandis,
Tuesday AM,z5337536,Cherrybrook,-33.89233,151.23686,83,26.4,7.8,67,1.7,20.1,Eucalyptus grandis,
Tuesday AM,z5366669,Cherrybrook,-33.89222,151.23673,82,26.1,6.3,75,1.7,25.2,Eucalyptus grandis,
Monday AM,z5395921,Frankston,-33.89273,151.23631,80,25.5,7.5,60,1.7,12,Eucalyptus grandis,
Monday AM,z5426930,Cherrybrook,-33.89232,151.23689,80,25.5,11.9,63,1.7,25.1,Eucalyptus grandis,
Monday PM,z5362560,Murringo,-33.89225,151.23611,80,25.5,13,42,1.5,13.2,Eucalyptus grandis,
Monday PM,z5480483,Kimba,-33.89212,151.23701,80,25.5,7.6,76,1.7,32.3,Eucalyptus grandis,
Tuesday AM,z5316369,Kimba,-33.89213,151.23702,80,25.5,16,45,1.4,17.4,Eucalyptus grandis,
Tuesday AM,z5337536,Foster,-33.89222,151.23684,80,25.5,7.1,63,1.7,15.6,Eucalyptus grandis,
Tuesday AM,z5418475,Kimba,-33.89213,151.23708,80,25.5,6.7,76,1.6,28.5,Eucalyptus grandis,
Tuesday AM,z5480944,Sofala,-33.89254,151.23662,80,25.5,5.5,43,1.6,6.7,Eucalyptus grandis,
Tuesday AM,z5480708,Kimba,-33.89214,151.23704,79,25.1,16.2,41,1.7,15.7,Eucalyptus grandis,
Monday AM,z5426930,Foster,-33.8924,151.23679,78,24.8,19.2,50,1.7,24.6,Eucalyptus grandis,
Monday AM,z5481059,Toronto,-33.89263,151.2373,78,24.8,10,64,1.9,20.5,Eucalyptus grandis,
Monday AM,z5519336,Walhalla,-33.89262,151.2369,78,24.8,7.3,55,1.8,12.2,Eucalyptus grandis,
Tuesday AM,z5478798,Sofala,-33.89254,151.23608,77,24.5,5,52,1.6,7.9,Eucalyptus grandis,
Monday AM,z5476203,Balmoral,-33.89254,151.23695,76,24.2,12.8,50,1.5,16.8,Eucalyptus grandis,
Monday AM,z5488079,Balmoral,-33.8926,151.23677,76,24.2,10.1,64,1.6,22.3,Eucalyptus grandis,
Tuesday AM,z5366669,Foster,-33.89231,151.23675,75,23.9,8.7,75,1.7,34.2,Eucalyptus grandis,
Tuesday AM,z5480579,Balmoral,-33.8925,151.23684,75,23.9,11.2,51,1.6,13.8,Eucalyptus grandis,
Monday AM,z5294922,Toronto,-33.89263,151.2373,74,23.6,8.7,66,1.8,21.3,Eucalyptus grandis,
Monday AM,z5418643,Foster,-33.89228,151.23679,74,23.6,17.9,45,1.9,19.8,Eucalyptus grandis,
Monday PM,z5481224,Balmoral,-33.89254,151.23654,74,23.6,11.9,56,1.7,19.4,Eucalyptus grandis,
Monday AM,z5482324,Echuca,-33.89257,151.23696,71,22.6,7.2,50,1.8,10.4,Eucalyptus grandis,
Monday AM,z5426930,Bulli,-33.89263,151.23723,70,22.3,17.5,60,1.7,32,Eucalyptus grandis,
Tuesday AM,z5457302,Bulli,-33.89258,151.23703,70,22.3,15.4,52,1.8,21.5,Eucalyptus grandis,
Tuesday AM,z5477875,Bulli,-33.89258,151.23714,70,22.3,14.1,65,1.6,31.9,Eucalyptus grandis,
Monday PM,z5541315,Walhalla,-33.89261,151.2369,70,22.1,11.3,63,1.5,23.8,Eucalyptus grandis,Measured a bit above 1.3m because of flaky bark
Monday PM,z5480483,Eulo,-33.89212,151.23701,69,22,7.9,70,1.7,23.4,Multi-stem,Eulo Snowtown and Kimba located in same coordinates
Tuesday AM,z5478995,Walhalla,-33.89265,151.23692,69,22,7.3,54,1.6,11.7,Eucalyptus grandis,
Tuesday AM,z5476674,Echuca,-33.89264,151.23692,68,21.6,6.5,65,1.75,15.7,Eucalyptus grandis,
Tuesday AM,z5480077,Bulli,-33.89266,151.23709,68,21.6,12.1,54,1.5,18.2,Eucalyptus grandis,
Tuesday AM,z5483851,Echuca,-33.89264,151.23692,68,21.6,6.5,60,1.7,11.3,Eucalyptus grandis,
Monday AM,z5487496,Bulli,-33.89258,151.23716,67,21.3,15.3,45,1.7,17,Eucalyptus grandis,
Monday PM,z5359247,Echuca,-33.89261,151.23693,67,21.3,9.6,54,1.6,10.7,Eucalyptus grandis,
Tuesday AM,z5191066,Toowoomba,-33.89269,151.23618,67,21.3,7,44,1.7,8.4,Eucalyptus grandis,
Monday AM,z5476311,Echuca,-33.89257,151.23696,66,21,7,67,1.53,18,Eucalyptus grandis,
Monday PM,z5476515,Bulli,-33.89262,151.23716,66,21,5.3,55,1.74,9.3,Eucalyptus grandis,
Tuesday AM,z5481461,Echuca,-33.89264,151.23695,66,21,8,61,1.5,15.9,Eucalyptus grandis,
Tuesday AM,z5337536,Bulli,-33.89268,151.23716,65,20.7,11.2,63,1.7,23.6,Eucalyptus grandis,
Tuesday AM,z5488725,Wauchope,-33.89291,151.23724,65,20.7,16,64,1.6,34.4,Eucalyptus grandis,
Monday AM,z5388066,Bulli,-33.89263,151.23711,64,20.4,16.9,45,1.66,18.6,Eucalyptus grandis,
Monday AM,z5421955,Cleve,-33.89276,151.23695,64,20.4,10,67,1.8,25.4,Eucalyptus grandis,
Monday AM,z5519336,Wittenoom,-33.89269,151.23724,64,20.4,9.9,57,1.9,17.1,Eucalyptus grandis,
Monday PM,z5359247,Bulli,-33.89259,151.23711,64,20.4,10.4,55,1.6,11.7,Eucalyptus grandis,
Tuesday AM,z5374371,Bulli,-33.89259,151.23714,64,20.4,20,44,1.77,21.1,Eucalyptus grandis,
Monday AM,z5425493,Cleve,-33.8928,151.2369,63,20.1,15.1,47,1.7,17.9,Eucalyptus grandis,
Monday AM,z5477700,Cleve,-33.8928,151.2369,63,20.1,1.5,47,1.6,3.2,Eucalyptus grandis,
