Class,zID,Name,Latitude,Longitude,Circumference_cm,dbh_cm,Distance_m,Angle,Eye_height_m,Tree_height_m,Tree_type,Notes
Tuesday AM,z5360347,Binda,-33.89264,151.23711,45,14.3,7.7,52,1.6,11.5,Eucalyptus grandis,
Tuesday AM,z5477135,Morpeth,-33.89275,151.23684,45,14.3,0.7,58,1.6,2.6,Eucalyptus grandis,
Tuesday AM,z5480944,Lismore,-33.89272,151.23688,45,14.3,6.5,38,1.6,6.6,Eucalyptus grandis,
Tuesday AM,z5513400,Geelong,-33.89275,151.23692,45,14.3,9,62,1.7,18.6,Eucalyptus grandis,
Monday AM,z5294922,Geelong,-33.89273,151.23701,44,14,6,57,1.8,11,Eucalyptus grandis,
Monday AM,z5487496,Geelong,-33.89276,151.23696,44,14,12.4,45,1.7,14.1,Eucalyptus grandis,
Monday PM,z5482279,Geelong,-33.89278,151.23688,44,14,8.3,59,1.65,15.5,Eucalyptus grandis,
Monday PM,z5492140,Geelong,-33.89266,151.23698,44,14,6.6,64,1.8,15.4,Eucalyptus grandis,
Monday PM,z5506652,Kaniva,-33.89293,151.23677,44,14,5.5,44,1.8,7.1,Unsure,
Tuesday AM,z5470475,Morpeth,-33.89278,151.23686,44,14,9,42,1.6,9.7,Eucalyptus grandis,
Monday AM,z5421548,Kaniva,-33.98296,151.23677,43,13.7,7.6,45,1.8,9.4,Unsure,unsure of species
Monday AM,z5421548,Launceston,-33.89278,151.23661,43,13.7,4.7,70,1.8,14.7,Eucalyptus grandis,
Monday AM,z5465916,Wondai,-33.89251,151.23729,43,13.7,10.3,48,1.68,6.6,Eucalyptus grandis,
Monday AM,z5478301,Geelong,-33.89728,151.23695,43,13.7,11.3,51,1.6,15.6,Eucalyptus grandis,
Tuesday AM,z5482171,Binda,-33.89255,151.23725,43,13.7,9,45,1.6,10.6,Eucalyptus grandis,
Tuesday AM,z5483211,Geelong,-33.89271,151.23793,43,13.7,12.7,35,1.6,10.5,Eucalyptus grandis,
Tuesday AM,z5487637,Binda,-33.89269,151.23722,43,13.7,3.5,72,1.6,12.2,Eucalyptus grandis,
Monday PM,z5476391,Wondai,-33.8925,151.23738,42,13.4,5,68,1.8,15.2,Eucalyptus grandis,
Tuesday AM,z5477875,Binda,-33.89258,151.23711,42,13.4,4.4,69,1.6,13.1,Eucalyptus grandis,
Monday PM,z5388083,Binda,-33.89255,151.23708,42,13.3,8.5,55,1.5,13.6,Eucalyptus grandis,
Monday AM,z5425493,Kaniva,-33.8929,151.2368,40,12.7,11,21,1.7,5.9,Unsure,
Monday AM,z5476746,Launceston,-33.89274,151.23672,40,12.7,10.3,45,1.8,12.1,Eucalyptus grandis,
Monday AM,z5477700,Binda,-33.8925,151.2372,40,12.7,1.1,21,1.6,2,Eucalyptus grandis,
Monday AM,z5481585,Binda,-33.89254,151.2372,40,12.7,11,21,1.6,5.8,Eucalyptus grandis,
Monday PM,z5407744,Coraki,-33.89291,151.23695,40,12.7,4.6,79,1.6,25.3,Eucalyptus grandis,
Tuesday AM,z5479673,Coraki,-33.89299,151.23693,40,12.7,9.2,45,1.75,10.9,Eucalyptus grandis,
Tuesday AM,z5479741,Wondai,-33.8925,151.23731,40,12.7,5.6,70,1.6,17,Eucalyptus grandis,
Tuesday AM,z5481461,Coraki,-33.89293,151.23687,40,12.7,6.9,47,1.5,8.9,Eucalyptus grandis,
Tuesday AM,z5483211,Coraki,-33.89293,151.23797,40,12.7,8.8,43,1.6,9.8,Eucalyptus grandis,
Tuesday AM,z5523350,Kaniva,-33.8929,151.23675,40,12.7,5,60,1.7,10.3,Unsure,
Monday AM,z5476546,Capel,-33.89234,151.23873,39,12.4,8.6,54,1.6,13.4,Eucalyptus grandis,
Monday AM,z5522015,Orford,-33.89206,151.23718,38,12.1,22.8,60,1.72,41.2,Eucalyptus grandis,
Monday PM,z5445237,Launceston,-33.89272,151.23662,38,12.1,10,42,1.5,10.5,Eucalyptus grandis,
Tuesday AM,z5420560,Launceston,-33.89275,151.2366,38,12.1,8.2,44,1.6,9.5,Eucalyptus grandis,
Monday AM,z5476546,Westbury,-33.89239,151.23869,37,11.8,11.5,72,1.6,37,Eucalyptus grandis,
Tuesday AM,z5482171,Bundanoon,-33.89257,151.2372,35,11.1,9.7,30,1.6,7.2,Eucalyptus grandis,
Tuesday AM,z5483211,Kaniva,-33.89292,151.23671,35,11.1,6.7,29,1.6,5.3,Unsure,
Tuesday AM,z5360347,Bundanoon,-33.8925,151.23721,34,10.8,5.5,38,1.6,5.9,Eucalyptus grandis,
Tuesday AM,z5479673,Bundanoon,-33.8925,151.23716,34,10.8,5.7,45,1.75,7.5,Eucalyptus grandis,
Tuesday AM,z5479673,Licola,-33.89304,151.23675,34,10.8,6,45,1.75,7.7,Eucalyptus grandis,
Monday AM,z5476546,Bordertown,-33.89229,151.23867,33,10.5,9.3,27,1.6,6.3,Eucalyptus grandis,
Tuesday AM,z5487637,Bundanoon,-33.89769,151.23712,31,9.9,1.6,60,1.6,4.4,Eucalyptus grandis,
Monday AM,z5516576,Melrose,-33.89245,151.23869,30,9.6,12,53,1.8,17.1,Eucalyptus grandis,
Monday AM,z5488581,Bangalow,-33.89293,151.23666,30,9.5,7.3,74,1.6,25.5,Eucalyptus grandis,
Tuesday AM,z5477875,Bundanoon,-33.89248,151.23728,30,9.5,3.2,60,1.6,7.1,Eucalyptus grandis,
Tuesday AM,z5480645,Bundanoon,-33.89256,151.23728,30,9.5,5.7,41,1.7,6.7,Eucalyptus grandis,
Tuesday AM,z5523350,Daintree,-33.89281,151.23597,28,8.9,1,45,1.7,2.7,Eucalyptus grandis,
Monday AM,z5522015,Guyra,-33.89271,151.23688,26,8.3,21.6,65,1.72,48,Eucalyptus grandis,
Monday AM,z5522015,Keith,-33.8926,151.23716,22,7,18,68,1.72,46.2,Eucalyptus grandis,
Tuesday AM,z5360347,Beulah,-33.8927,151.23665,20,6.4,5.1,42,1.6,6.2,Eucalyptus grandis,
Tuesday AM,z5457302,Beulah,-33.89261,151.2367,20,6.4,5.1,44,1.8,6.7,Eucalyptus grandis,Cute little seedling
Tuesday AM,z5481461,Springton,-33.89287,151.2366,20,6.4,4.6,50,1.5,7,Unsure,
Monday AM,z5479964,Springton,-33.89284,151.23673,18,5.7,6.5,37,1.7,6.6,Unsure,Not a Eucalypt
Monday PM,z5481224,Beulah,-33.89269,151.23661,18,5.7,4,52,1.7,6.8,Eucalyptus grandis,
Tuesday AM,z5191066,Beulah,-33.89265,151.23685,18,5.7,0.7,47,1.7,2.4,Eucalyptus grandis,
Tuesday AM,z5476674,Beulah,-33.89274,151.23658,18,5.7,5.3,48,1.75,7.6,Eucalyptus grandis,
Tuesday AM,z5483851,Beulah,-33.89274,151.23658,18,5.7,5.3,45,1.7,5.3,Eucalyptus grandis,
Monday AM,z5522015,Noojee,-33.89268,151.23692,18,5.6,17.7,67,1.72,43.4,Eucalyptus grandis,
Monday AM,z5421955,Beulah,-33.89273,151.23671,17,5.4,2.5,65,1.8,7.2,Eucalyptus grandis,
Monday AM,z5479964,Beulah,-33.89275,151.23677,17,5.4,4.6,38,1.7,5.3,Eucalyptus grandis,
Tuesday AM,z5360347,Derby,-33.89284,151.23691,16,5.1,3.1,35,1.6,3.8,Unsure,Tree looks different and might be different species
Tuesday AM,z5481461,Derby,-33.89288,151.23679,12,3.8,3,26,1.5,3,Unsure,
Tuesday AM,z5523350,Derby,-33.893,151.23674,12,3.8,5,30,1.7,4.6,Unsure,
Monday AM,z5482324,Derby,-33.89293,151.23671,9,2.9,1.9,45,1.8,3.7,Unsure,unsure of species
Tuesday AM,z5412813,Guyra,-33.89266,151.23688,2,0.6,8,72,1.7,26.3,Eucalyptus grandis,
